Manifeste (thème);Manifeste (action);Répertoire;Objectif général;Objectif intermédiaire;Actions du répertoire des solutions;Cotation coût/climat;Devenir Orléans Métropole;Si Orléans Métropole ne retient pas, motif :;Etat de maturité de la solution;Financement;Ce que nous pourrons faire dès 2022;Soutenu par un document de planification existant ?;Solution Totem;cotation_cout;valeur_cout;cotation_climat;valeur_climat;Nom du thème
8.0;73;201;Alimentation;Développer une agriculture durable, en adéquation avec les attentes des consommateurs, qui réponde aux enjeux du territoire, de ses habitants et de la Loi EGAlim;Développer une offre locale adaptée aux volumes et besoins des cantines;coût+/ impact++;Orléans Métropole soutient;;est déjà en place,fonctionne;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Accompagner les agriculteurs vers la labellisation, notamment en vue de permettre à la restauration collective de répondre localement aux objectifs EGAlim, travail sur une solution logistique pour le Pavillon des producteurs;Charte agricole;oui;coût+;1;impact++;2;Alimentation et agriculture
8.0;73;220;Alimentation;Eduquer et sensibiliser les habitants de la Métropole aux enjeux de l'agriculture et de l'alimentation durables;Accompagner le changement des restaurations collectives dans les établissements scolaires vers une cuisine “bonne pour le climat” / sous signe de qualité / locale / bio;coût ++/ impact ++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Suivre les démarches expérimentales en cours pour l'incitation à la contractualisation avec les producteurs locaux, et les poursuivre. Poursuivre le lien avec les prestataires de la restauration collective pour le développement des approvisionnements locaux. Soutenir le développement d'Approlocal, plateforme de commande en ligne de produits locaux pour professionnels de l'alimentation. Partenariat restauration collective.;Charte agricole;non;coût++;2;impact++;2;Alimentation et agriculture
7.0;64;90;Eau;Promotion de l'eau du robinet;Fournir une eau de qualité et saine à l'ensemble des habitants et notamment aux plus démunis (SDF...).;coût+/ impact++;Orléans Métropole pilote;;a fait l'objet d'une étude de préfiguration;a été chiffré mais n'est pas budgété;"Pas d'action en 2022. Orléans Métropole dispose déjà d'une eau de qualité => promotion Eau du robinet à faire !
Amélioration de la qualité de l'eau à faire sur Ormes/La Chapelle St Mesmin (pollution aux nitrates) mais uniquement à partir de 2024";autre;oui;coût+;1;impact++;2;Eau et milieux aquatiques
8.0;77;927;Alimentation;Préserver le foncier agricole et maintenir une activité agricole durable, compétitive et innovante;Pérenniser et développer le nombre d’actifs agricoles (couveuse d’entreprise Terr’O, accompagnement des porteurs de projets, valorisation des métiers de la production).;;;;;;;;non;;N.A.;;N.A.;Alimentation et agriculture
8.0;71;190;Alimentation;Faciliter l'accès aux produits locaux pour les professionnels et les particuliers;Développer le réseau de distribution des produits locaux et de qualité via des lieux de coopération entre agriculteurs et citoyens (AMAP, groupements d’achats, points de vente);coût ++/ impact ++;Orléans Métropole soutient;;est déjà en place,fonctionne;fait l'objet d'une inscription au PPI;Etude d'opportunité pour la réalisation d'un magasin de produits locaux en cours, budget pour la réhabilitation d'un local si une opportunité se présente en 2022 (pris sur la réserve foncière);Charte agricole;non;coût++;2;impact++;2;Alimentation et agriculture
9.0;81;337;Ville durable;Adapter la ville au changement climatique;"Intégrer la notion d’""ilots de chaleur"" dans les règlements d’urbanisme (PLU / PLUm)  et créer de l’ombre et de la fraîcheur en ville (couvrir des rues où le soleil brûle l'été). Développer des aménagements spécifiques pour lutter contre les îlots de chaleur urbains (arbres, fontaines, arcades, jardins...)";coût +++/impact+++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Notion intégrée au PLUm mais principes opérationnels à développer, identification des zones critiques pour priorisation d'actions;PLUm;oui;coût+++;3;impact+++;3;Ville durable
9.0;82;353;Ville durable;Préserver les ressources;Veiller à la qualité de l’air dans le développement du bois-énergie;coût +++/impact ++;Orléans Métropole pilote;;est déjà en place,fonctionne;n'a pas encore été chiffré;Le Plan de Protection de l'Atmosphère sera arrêté en 2022 et intègrera des dispositifs spécifiques liés au développement de la filière;SDE;non;coût+++;3;impact++;2;Ville durable
9.0;83;343;Ville durable;Limiter l'étalement urbain et développer la ville des courtes distances;S’appuyer sur la densité de population pour proposer une offre de services complète (services publics et privés, transports en commun, vie de quartier, associations culturelles et sportives...);coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Approche prise en compte dans le SCOT et dans le PLUm;SCOT;non;coût++;2;impact+++;3;Ville durable
4.0;86;182;Mobilité;Diminuer l'impact des véhicules motorisés sur l'environnement;Contrôler plus systématiquement les véhicules les plus bruyants;coût +/impact+;Orléans Métropole soutient;;mérite une progression;n'a pas encore été chiffré;;;non;coût+;1;impact+;1;Mobilités durables
9.0;89;339;Ville durable;Limiter l'étalement urbain et développer la ville des courtes distances;Développer la smart city : Accélérer le développement de la fibre. Répondre à la fracture entre les télétravailleurs (ceux équipés de la fibre et ceux qui ne le sont pas) et favoriser le télétravail, l'école à distance, les démarches administratives, les échanges sociaux, la consultation des open data...;coût +++/ impact +;Orléans Métropole soutient;;mérite une progression;;Point d'avancement sur le développement de la fibre, dialogue avec les opérateurs;;non;coût+++;3;impact+;1;Ville durable
4.0;90;136;Mobilité;(Ré)aménager l'espace public et les voiries en donnant la priorité aux mobilités durables;Consulter l'ensemble des usagers lors des (ré)aménagements de voirie;coût+/ impact++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;;Poursuite du comité d'usagers cyclistes métropolitain et préfiguration du comité d'usagers à l'échelle de la ville d'Orléans;PDU;non;coût+;1;impact++;2;Mobilités durables
9.0;91;330;Ville durable;Animer un réseau d'acteurs pour une montée en compétences du territoire autour de la construction de la Ville Durable;Evaluer l’atteinte des objectifs de la transition par un comité de citoyens indépendants;coût+/ impact++;Orléans Métropole pilote;;;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Déployer une gouvernance citoyenne de la transition;PCAET;non;coût+;1;impact++;2;Ville durable
10.0;93;934;Gouvernance;;Favoriser la coopération entre les communes et animer la mise en réseau des élus chargés de la transition pour faciliter l’échange de pratiques et l’émergence de projets;;;;;;;;non;;N.A.;;N.A.;Gouvernance partagée
10.0;95;936;Gouvernance;;Renouveler annuellement l’évènement des Assises de la Transition pour rendre compte des avancées de la feuille de route et encourager la mobilisation des habitants;;;;;;;;non;;N.A.;;N.A.;Gouvernance partagée
7.0;97;75;Eau;Communication sur la thématique de l'EAU;Créer une signalétique commune autour de l'ensemble des ressources en eau du territoire pour créer des zones/zoom pédagogiques identifiables autour des sujets de l'eau;coût+/ impact++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;"Démarrer la promotion ""Eau du robinet""";;non;coût+;1;impact++;2;Eau et milieux aquatiques
7.0;97;83;Eau;Communication sur la thématique de l'EAU;Réduire les déchets à la source : donner à voir pour convaincre (par la mise en place de filets à macro-déchets, par le partage de données chiffrées...);coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Campagne Lingettes à relancer;;non;coût++;2;impact+++;3;Eau et milieux aquatiques
3.0;97;249;Biodiversité;Sensibilisation de la population aux enjeux et aux solutions accessibles au plus grand nombre;Sensibiliser aux actions de réduction des déchets favorables à la biodiversité  (ramassage, gestion écologique des bio déchets, consommation zéro déchet…);coût+/ impact++;Orléans Métropole pilote;;est déjà en place,fonctionne;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Faire la promotion, le relais des actions de sensibilisation en placecomme les Rendez-vous de l'Environnement, les animations proposées par la Direction gestion des déchets, …;;non;coût+;1;impact++;2;Biodiversité
2.0;97;274;Rénovation;Mobiliser l'ensemble des acteurs du territoire par une stratégie de sensibilisation et de communication sur les enjeux de la rénovation énergétique;Définir un langage commun à tous les acteurs pour une communication claire;coût +/impact+;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Engager le travail avec des professionnels de la communication / marketing (interne ou appui externe);;non;coût+;1;impact+;1;Rénovation énergétique
10.0;99;940;Gouvernance;;Elaborer une stratégie de communication et de marketing territorial autour des enjeux de transition valorisant les actions de la Métropole et des communes et de celles réalisées par les autres acteurs du territoire (associations, entreprises, habitants);;;;;;;;non;;N.A.;;N.A.;Gouvernance partagée
3.0;24,26;234;Biodiversité;Conception et gestion des espaces  favorables à la biodiversité;Préserver la flore spontanée en faisant du fauchage tardif;coût +/impact +++;Orléans Métropole soutient;;est déjà en place,fonctionne;sans objet;Mettre en œuvre cette solution sur les espaces verts, les accompagnements de voiries où ce n'est pas encore le cas et où c'est pertinent de le faire;PCAET;non;coût+;1;impact+++;3;Biodiversité
3.0;24,26;238;Biodiversité;Conception et gestion des espaces  favorables à la biodiversité;Systématiser la récupération des eaux de pluie;coût ++/ impact ++;Orléans Métropole pilote;;;;Approche déclinée dans l'axe Eau;;non;coût++;2;impact++;2;Biodiversité
8.0;42,74;205;Alimentation;Réduire et valoriser les biodéchets;Créer une plateforme de gestion et de valorisation des biodéchets des professionnels et des collectivités;coût ++/ impact ++;Orléans Métropole pilote;;besoin d'études préalables;fait l'objet d'une inscription au PPI;Etude en cours sur la faisabilité d’une gestion et valorisation collective des biodéchets pour les professionnels;Charte agricole;oui;coût++;2;impact++;2;Alimentation et agriculture
5.0;48,97;390;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;Informer sur les fausses promos incitant à la consommation;coût +/impact+;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;"Continuer à communiquer sur l'eco-consommation à travers la newsletter ""réduction des déchets""";PLPD;non;coût+;1;impact+;1;Déchets et économie circulaire
5.0;48,97;391;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;Informer sur le coût global du suremballage par rapport aux questions environnementales;coût +/impact+;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;"Continuer à communiquer sur l'eco-consommation à travers la newsletter ""réduction des déchets""";PLPD;non;coût+;1;impact+;1;Déchets et économie circulaire
